Network,Measure,Final Train Error,Min Test Error,Kendalls Tau,Best Config,Running Time Networkit,Running Time NN,Time Difference
Adolescent health network,Degree,0.012623889,0.011846805,0.9369,128_4,0.003263,0.014648,-0.011385
Adolescent health network,Eigenvector Centrality,0.0043812534,0.006168665,0.2619,128_4,0.008949,0.014418,-0.005468
Adolescent health network,PageRank,0.032829396,0.031344097,0.715,64_3,0.003702,0.006765,-0.003063
Yeast network,Degree,0.0049522077,0.005312606,0.7564,64_3,1.9e-05,0.005874,-0.005855
Yeast network,Eigenvector Centrality,0.0023595053,0.0018900381,0.4611,256_3,0.014296,0.012407,0.001889
Yeast network,PageRank,0.004542186,0.005384265,0.8033,128_3,0.002316,0.007491,-0.005174
