Network,Measure,Final Train Error,Min Test Error,Kendalls Tau,Best Config,Running Time Networkit,Running Time NN,Time Difference
Adolescent health network,Degree,0.0048335255,0.011128512,0.9374,128_4,0.011870,0.001947,0.009923
Adolescent health network,Eigenvector Centrality,0.0015341375,0.003057647,0.3283,32_5,0.104427,0.002448,0.101979
Adolescent health network,PageRank,0.023258649,0.028421262,0.7587,128_5,0.003679,0.002476,0.001203
Yeast network,Degree,0.0023578957,0.004156092,0.7558,128_3,0.014733,0.001456,0.013277
Yeast network,Eigenvector Centrality,0.0006755285,0.0010025465,0.5603,256_3,0.608336,0.001612,0.606724
Yeast network,PageRank,0.0020547532,0.0034770195,0.8812,256_5,0.002342,0.002534,-0.000192
